observation_id,endemic,binomial_name,country,code,class_id,file_path,label,target
99228877,False,Dendrelaphis pictus,West Java,ID,444,2021/Dendrelaphis_pictus/165372137.jpeg,Dendrelaphis pictus,34
56907997,False,Naja naja,Karnataka,IN,985,2020/Naja_naja/93550860.jpeg,Naja naja,64
95543962,True,Psammodynastes pulverulentus,Taipei,TW,1173,2021/Psammodynastes_pulverulentus/158630740.jpeg,Psammodynastes pulverulentus,77
82407397,False,Naja naja,unknown,unknown,985,2019/Naja_naja/135249290.jpeg,Naja naja,64
74337333,False,Ahaetulla prasina,Johor,MY,38,2020/Ahaetulla_prasina/121480736.jpeg,Ahaetulla prasina,6
70488294,False,Eryx conicus,Tamil Nadu,IN,603,2020/Eryx_conicus/114603530.jpeg,Eryx conicus,39
18210036,False,Eryx johnii,Kerala,IN,606,2018/Eryx_johnii/27825301.jpg,Eryx johnii,40
51473486,True,Psammodynastes pulverulentus,Taiwan,TW,1173,2020/Psammodynastes_pulverulentus/81785093.jpg,Psammodynastes pulverulentus,77
54800730,True,Psammodynastes pulverulentus,Taiwan,TW,1173,2020/Psammodynastes_pulverulentus/87218444.jpg,Psammodynastes pulverulentus,77
103407686,False,Ahaetulla oxyrhyncha,Andhra Pradesh,IN,37,2021/Ahaetulla_oxyrhyncha/173060215.jpeg,Ahaetulla oxyrhyncha,5
55975928,True,Psammodynastes pulverulentus,Tai Po,HK,1173,2020/Psammodynastes_pulverulentus/89165815.jpeg,Psammodynastes pulverulentus,77
67780053,False,Ptyas korros,West Java,ID,1243,2020/Ptyas_korros/109599456.jpeg,Ptyas korros,82
29696139,False,Dendrelaphis pictus,Selangor,MY,444,2019/Dendrelaphis_pictus/46359366.jpeg,Dendrelaphis pictus,34
101812277,False,Dendrelaphis pictus,Nakhon Ratchasima,TH,444,2021/Dendrelaphis_pictus/170067961.jpg,Dendrelaphis pictus,34
27970369,False,Rhabdophis chrysargos,Central Java,ID,1266,2019/Rhabdophis_chrysargos/43568643.jpeg,Rhabdophis chrysargos,86
29769084,False,Ovophis monticola,Arunachal Pradesh,IN,1059,2009/Ovophis_monticola/46345520.jpg,Ovophis monticola,72
101439333,False,Indotyphlops braminus,Yuen Long,HK,742,2021/Indotyphlops_braminus/169412921.jpeg,Indotyphlops braminus,54
35569313,False,Coelognathus radiatus,Tsuen Wan,HK,315,2019/Coelognathus_radiatus/56099547.jpg,Coelognathus radiatus,27
53445762,False,Ahaetulla prasina,Johor,MY,38,2020/Ahaetulla_prasina/85006774.jpeg,Ahaetulla prasina,6
85429237,False,Indotyphlops braminus,Cortes,HN,742,2021/Indotyphlops_braminus/140559724.jpeg,Indotyphlops braminus,54
68132891,False,Naja kaouthia,Phangnga,TH,982,2018/Naja_kaouthia/110245963.jpeg,Naja kaouthia,63
66521452,False,Ptyas mucosa,Karnataka,IN,1245,2020/Ptyas_mucosa/107254683.jpeg,Ptyas mucosa,83
105024075,False,Laticauda colubrina,Mimaropa,PH,778,2022/Laticauda_colubrina/176116793.jpg,Laticauda colubrina,55
49711288,False,Laticauda laticaudata,Taiwan,TW,780,2019/Laticauda_laticaudata/78921281.jpeg,Laticauda laticaudata,56
15784943,False,Boiga multomaculata,West Java,ID,161,2018/Boiga_multomaculata/23636525.jpeg,Boiga multomaculata,13
99418733,False,Ptyas dhumnades,Taiwan,TW,1241,2021/Ptyas_dhumnades/165723927.jpeg,Ptyas dhumnades,81
27695227,False,Ptyas korros,Changwat Udon Thani,TH,1243,2019/Ptyas_korros/43119440.jpeg,Ptyas korros,82
71926419,False,Bungarus fasciatus,West Java,ID,223,2021/Bungarus_fasciatus/117183061.jpeg,Bungarus fasciatus,17
88249407,False,Protobothrops mucrosquamatus,Taiwan,TW,1170,2020/Protobothrops_mucrosquamatus/145583232.jpeg,Protobothrops mucrosquamatus,76
63151816,True,Craspedocephalus malabaricus,Kerala,IN,351,2017/Craspedocephalus_malabaricus/101306494.jpg,Craspedocephalus malabaricus,29
51331647,False,Eryx conicus,Andhra Pradesh,IN,603,2020/Eryx_conicus/82710726.jpeg,Eryx conicus,39
86547276,False,Oligodon taeniolatus,Karnataka,IN,1045,2021/Oligodon_taeniolatus/142588675.jpeg,Oligodon taeniolatus,68
93676739,False,Cerberus schneiderii,Johor,MY,267,2021/Cerberus_schneiderii/155294313.jpeg,Cerberus schneiderii,22
103050340,False,Xenopeltis unicolor,Central Java,ID,1559,2021/Xenopeltis_unicolor/172387930.jpeg,Xenopeltis unicolor,97
78111445,False,Indotyphlops braminus,Florida,US,742,2021/Indotyphlops_braminus/128077401.jpeg,Indotyphlops braminus,54
16925036,False,Trimeresurus albolabris,Nakhon Ratchasima,TH,1463,2018/Trimeresurus_albolabris/25575245.jpeg,Trimeresurus albolabris,92
37532267,False,Indotyphlops braminus,California,US,742,2019/Indotyphlops_braminus/59517087.jpg,Indotyphlops braminus,54
12077554,False,Oligodon cinereus,unknown,HK,1034,2018/Oligodon_cinereus/17319976.jpeg,Oligodon cinereus,66
60985962,True,Psammodynastes pulverulentus,Nong Khai,TH,1173,2019/Psammodynastes_pulverulentus/97547569.jpeg,Psammodynastes pulverulentus,77
66695503,False,Rhabdophis subminiatus,Guangdong,CN,1276,2017/Rhabdophis_subminiatus/107576751.jpeg,Rhabdophis subminiatus,87
49903046,False,Indotyphlops braminus,Queensland,AU,742,2020/Indotyphlops_braminus/79232427.jpeg,Indotyphlops braminus,54
34438790,False,Dendrelaphis cyanochloris,Johor,MY,433,2019/Dendrelaphis_cyanochloris/54210625.jpeg,Dendrelaphis cyanochloris,31
45168406,False,Chrysopelea paradisi,unknown,SG,305,2019/Chrysopelea_paradisi/71613916.jpg,Chrysopelea paradisi,24
16113327,False,Indotyphlops braminus,Yucatan,MX,742,2018/Indotyphlops_braminus/24141077.jpeg,Indotyphlops braminus,54
33989441,False,Rhabdophis chrysargos,Bali,ID,1266,2019/Rhabdophis_chrysargos/53442856.jpeg,Rhabdophis chrysargos,86
101887774,False,Hebius beddomei,Maharashtra,IN,664,2021/Hebius_beddomei/170213126.jpeg,Hebius beddomei,47
57175002,True,Psammodynastes pulverulentus,Taiwan,TW,1173,2020/Psammodynastes_pulverulentus/91176053.jpeg,Psammodynastes pulverulentus,77
